epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,265.649,2.2942,4.21523,4.44782,2.19552,0,0.3495,0.17176,0.12771,0.05337,0.37584,0.06125,0.06642,0.02865,2.31889,7.35185,3.90892,2.25766,0,0.000332997,0.000332997,0.0670333
2,497.65,2.08473,3.46301,3.12211,2.02302,0,0.32935,0.21006,0.15901,0.07193,0.34632,0.1927,0.15753,0.05804,2.27302,3.77778,4.6737,2.22497,0,0.000666168,0.000666168,0.0340331
3,720.08,1.95268,3.12587,2.54979,1.90366,0,0.31952,0.38593,0.25652,0.12075,0.57219,0.25459,0.23421,0.09875,2.11141,3.51924,4.73204,2.03565,0,0.000998687,0.000998687,0.00103232
4,939.589,1.84042,2.86452,2.23443,1.78771,0,0.31941,0.39255,0.25896,0.11514,0.34059,0.35235,0.25254,0.10107,2.05212,3.19434,3.68614,1.99457,0,0.000997803,0.000997803,0.000997803
5,1159.23,1.72211,2.66742,1.92838,1.68302,0,0.38097,0.43778,0.35823,0.18324,0.37699,0.42596,0.35092,0.171,1.95512,2.92986,2.93855,1.86931,0,0.000996097,0.000996097,0.000996097
6,1378.66,1.63033,2.51986,1.73673,1.62072,0,0.62149,0.35345,0.41711,0.21937,0.63136,0.34761,0.39678,0.20229,1.93061,2.98786,2.63648,1.86276,0,0.000993906,0.000993906,0.000993906
7,1597.03,1.57724,2.40149,1.6292,1.56403,0,0.4626,0.49809,0.40079,0.19115,0.46984,0.46661,0.39915,0.19117,1.89595,2.79636,2.58433,1.80966,0,0.000991232,0.000991232,0.000991232
8,1815.45,1.48586,2.29759,1.48124,1.49107,0,0.57908,0.48517,0.4699,0.24817,0.59569,0.44798,0.43967,0.21949,1.87074,2.88909,2.07022,1.82146,0,0.000988079,0.000988079,0.000988079
9,2034.71,1.43892,2.23438,1.41619,1.46308,0,0.45963,0.52994,0.47369,0.2429,0.45467,0.51761,0.46339,0.22941,1.86341,2.90932,2.46872,1.83285,0,0.000984449,0.000984449,0.000984449
10,2253.67,1.38841,2.16479,1.30792,1.42663,0,0.54486,0.45345,0.4426,0.23585,0.5454,0.45082,0.42922,0.20756,1.78589,2.7483,2.20797,1.73193,0,0.000980345,0.000980345,0.000980345
11,2472.5,1.36121,2.09654,1.24598,1.39869,0,0.53967,0.54625,0.51709,0.27665,0.51853,0.52287,0.4798,0.24398,1.76543,2.62055,2.12129,1.74634,0,0.000975773,0.000975773,0.000975773
12,2691.98,1.30742,2.03745,1.17382,1.36211,0,0.59717,0.50277,0.51415,0.28792,0.60865,0.49876,0.51043,0.26587,1.70259,2.635,1.86434,1.71352,0,0.000970736,0.000970736,0.000970736
