epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,656.743,2.04798,3.6426,3.53066,1.94673,0,0.31895,0.24471,0.21413,0.09808,0.28206,0.2189,0.15296,0.0578,2.13364,4.37988,3.18655,1.94778,0,0.000166613,0.000166613,0.0668439
2,1195.56,1.67507,2.65324,1.95872,1.61643,0,0.49134,0.51168,0.43079,0.21541,0.48433,0.48195,0.40349,0.19109,1.88842,2.87556,2.65178,1.76199,0,0.000333244,0.000333244,0.0336772
3,1708.32,1.5004,2.33156,1.47787,1.46803,0,0.52342,0.55616,0.49215,0.26953,0.52453,0.52542,0.46044,0.23426,1.78296,2.67584,2.22709,1.65286,0,0.00049973,0.00049973,0.000510396
4,2214.53,1.37278,2.10074,1.23452,1.37035,0,0.61989,0.58939,0.5811,0.33545,0.60592,0.56359,0.54975,0.29652,1.71472,2.73662,2.2062,1.61824,0,0.000499512,0.000499512,0.000499512
5,2712.15,1.27936,1.96382,1.07794,1.28947,0,0.71795,0.59862,0.62658,0.3678,0.70256,0.58282,0.60336,0.31845,1.67924,2.67556,1.71584,1.58815,0,0.000499132,0.000499132,0.000499132
6,3217.71,1.20275,1.85358,0.97863,1.23424,0,0.65855,0.63315,0.63413,0.37694,0.62581,0.60374,0.59196,0.31864,1.61123,2.65942,2.04729,1.54312,0,0.000498644,0.000498644,0.000498644
7,3721.69,1.15648,1.782,0.90118,1.20347,0,0.73538,0.64082,0.66067,0.38564,0.71083,0.61168,0.62015,0.33462,1.64723,2.51581,1.89955,1.54571,0,0.000498048,0.000498048,0.000498048
8,4223.54,1.11464,1.71169,0.83887,1.16857,0,0.73862,0.63485,0.65365,0.39398,0.69031,0.62264,0.61902,0.34118,1.6535,2.64466,2.21228,1.5831,0,0.000497345,0.000497345,0.000497345
9,4726.07,1.06845,1.65209,0.79854,1.14278,0,0.76674,0.64529,0.68868,0.40737,0.74692,0.61771,0.65349,0.34802,1.62215,2.63007,1.57344,1.53538,0,0.000496534,0.000496534,0.000496534
10,5231.49,1.03863,1.60646,0.75001,1.1175,0,0.71228,0.66754,0.67272,0.40848,0.69006,0.64882,0.65026,0.35269,1.59465,2.52879,1.5055,1.51399,0,0.000495616,0.000495616,0.000495616
11,5733.37,1.0118,1.57162,0.71981,1.10218,0,0.76949,0.66345,0.6933,0.42199,0.74953,0.65254,0.66842,0.37594,1.58945,2.55899,1.49467,1.525,0,0.000494592,0.000494592,0.000494592
12,6234.19,0.98349,1.53288,0.68573,1.08508,0,0.73905,0.65486,0.68705,0.4222,0.72013,0.64595,0.68302,0.36951,1.54839,2.47512,1.67066,1.50834,0,0.000493461,0.000493461,0.000493461
13,6735.76,0.95286,1.49613,0.65826,1.0637,0,0.77029,0.67904,0.71289,0.43911,0.73881,0.67432,0.70372,0.38242,1.57312,2.48856,1.41204,1.52222,0,0.000492224,0.000492224,0.000492224
14,7237.32,0.93837,1.45813,0.63795,1.0568,0,0.78093,0.67251,0.70497,0.43575,0.76342,0.6609,0.697,0.37986,1.56063,2.48803,1.46717,1.51315,0,0.000490883,0.000490883,0.000490883
15,7737.1,0.91565,1.43935,0.62186,1.04129,0,0.79052,0.68147,0.70592,0.43211,0.78734,0.66628,0.69486,0.37539,1.56874,2.57319,1.49959,1.51146,0,0.000489437,0.000489437,0.000489437
16,8235.7,0.90929,1.4245,0.61303,1.04019,0,0.78166,0.6738,0.70156,0.43004,0.7645,0.66108,0.69183,0.37164,1.55164,2.56644,1.46407,1.5086,0,0.000487886,0.000487886,0.000487886
17,8748.27,0.88695,1.39292,0.59223,1.02475,0,0.80576,0.67711,0.72443,0.45154,0.7736,0.65845,0.69716,0.38336,1.55841,2.68513,1.42974,1.52896,0,0.000486233,0.000486233,0.000486233
18,9255.71,0.86646,1.36666,0.5757,1.01357,0,0.81176,0.69652,0.73233,0.45928,0.7972,0.68912,0.72178,0.39638,1.5408,2.51481,1.34762,1.53237,0,0.000484477,0.000484477,0.000484477
19,9754.11,0.85465,1.34428,0.56341,1.01069,0,0.80453,0.69034,0.73214,0.45557,0.77672,0.67739,0.71308,0.39119,1.54883,2.57066,1.36588,1.52469,0,0.00048262,0.00048262,0.00048262
20,10251.4,0.8409,1.32357,0.55136,0.99855,0,0.80323,0.69878,0.73526,0.46235,0.78194,0.68918,0.7149,0.39435,1.52256,2.61616,1.37774,1.51891,0,0.000480661,0.000480661,0.000480661
21,10749.7,0.82338,1.3062,0.53539,0.98804,0,0.79294,0.69091,0.72976,0.46038,0.78435,0.68047,0.71955,0.39626,1.53404,2.63031,1.37875,1.53296,0,0.000478603,0.000478603,0.000478603
22,11246.5,0.81735,1.29137,0.52911,0.98533,0,0.81244,0.6963,0.72825,0.45591,0.79938,0.68893,0.71308,0.38835,1.5424,2.65742,1.38657,1.54111,0,0.000476445,0.000476445,0.000476445
23,11745,0.80705,1.2765,0.52196,0.98126,0,0.81589,0.68713,0.72775,0.45522,0.78981,0.67863,0.70637,0.38607,1.54611,2.65456,1.34588,1.54184,0,0.000474189,0.000474189,0.000474189
24,12246.8,0.7928,1.26484,0.51157,0.97389,0,0.81532,0.70186,0.7428,0.47194,0.8002,0.68967,0.72687,0.4006,1.53471,2.64565,1.33013,1.53597,0,0.000471835,0.000471835,0.000471835
25,12746.2,0.77964,1.2432,0.5051,0.96932,0,0.83023,0.70034,0.74901,0.47273,0.80034,0.68572,0.72874,0.40221,1.53049,2.65825,1.32066,1.54805,0,0.000469386,0.000469386,0.000469386
26,13221.8,0.76869,1.2258,0.49203,0.9617,0,0.81567,0.71628,0.75026,0.47324,0.79042,0.70087,0.73302,0.40136,1.53612,2.6288,1.34341,1.55388,0,0.000466841,0.000466841,0.000466841
27,13693.2,0.76015,1.21176,0.48377,0.95473,0,0.81699,0.71433,0.7501,0.47712,0.78801,0.69631,0.72729,0.40454,1.54366,2.61467,1.3315,1.57649,0,0.000464203,0.000464203,0.000464203
28,14165.2,0.75117,1.19755,0.47713,0.95133,0,0.81225,0.70221,0.74847,0.47354,0.79074,0.68572,0.72541,0.40294,1.54542,2.61067,1.33378,1.57265,0,0.000461471,0.000461471,0.000461471
29,14638.5,0.73752,1.18366,0.46773,0.94521,0,0.82611,0.70983,0.75356,0.47404,0.79999,0.6943,0.72983,0.40415,1.54766,2.62379,1.30834,1.58163,0,0.000458648,0.000458648,0.000458648
30,15110.6,0.72816,1.16817,0.45991,0.93942,0,0.82406,0.71634,0.75218,0.47351,0.79518,0.69811,0.72982,0.40433,1.54926,2.64678,1.2944,1.59269,0,0.000455734,0.000455734,0.000455734
31,15581.4,0.7171,1.16043,0.45612,0.93414,0,0.83071,0.71198,0.75066,0.4744,0.80652,0.69346,0.72771,0.40464,1.55171,2.67112,1.2955,1.59459,0,0.000452732,0.000452732,0.000452732
32,16054.7,0.71175,1.14804,0.44918,0.9338,0,0.82394,0.70939,0.75099,0.4768,0.80944,0.68816,0.73047,0.40517,1.55535,2.68324,1.31167,1.59336,0,0.000449641,0.000449641,0.000449641
33,16525.1,0.7012,1.13008,0.44166,0.9252,0,0.82922,0.70914,0.75186,0.47513,0.80662,0.69163,0.72904,0.40475,1.55699,2.7001,1.29981,1.59624,0,0.000446464,0.000446464,0.000446464
34,16996.4,0.69811,1.12578,0.44397,0.92619,0,0.8383,0.71113,0.75301,0.47659,0.80905,0.69812,0.73116,0.40489,1.55316,2.70267,1.28865,1.59308,0,0.000443202,0.000443202,0.000443202
35,17468.5,0.68995,1.12198,0.43316,0.9224,0,0.84442,0.70777,0.7559,0.47759,0.81477,0.69541,0.7353,0.40522,1.54889,2.70786,1.27051,1.59433,0,0.000439856,0.000439856,0.000439856
36,17940.1,0.6867,1.11521,0.43018,0.92054,0,0.84989,0.70682,0.75704,0.47935,0.81674,0.69341,0.7338,0.40553,1.54574,2.71287,1.2668,1.59451,0,0.000436428,0.000436428,0.000436428
37,18413.5,0.67581,1.09203,0.42303,0.91533,0,0.84353,0.70931,0.75728,0.48041,0.81088,0.69644,0.73596,0.40707,1.54562,2.71718,1.26043,1.59533,0,0.00043292,0.00043292,0.00043292
38,18886.2,0.66801,1.09051,0.41917,0.91133,0,0.84988,0.70676,0.7584,0.48138,0.81415,0.69413,0.73585,0.40666,1.54507,2.71727,1.26253,1.5993,0,0.000429332,0.000429332,0.000429332
39,19359,0.66387,1.08009,0.41435,0.90914,0,0.84156,0.70927,0.75696,0.48173,0.80918,0.69893,0.73592,0.40626,1.54444,2.71857,1.27185,1.60156,0,0.000425667,0.000425667,0.000425667
40,19833,0.65863,1.07439,0.41341,0.90685,0,0.84463,0.70866,0.75659,0.48165,0.81676,0.69498,0.73655,0.40617,1.54315,2.72768,1.27415,1.60226,0,0.000421925,0.000421925,0.000421925
41,20305.3,0.64788,1.06131,0.40245,0.90365,0,0.84446,0.70911,0.75677,0.48184,0.81829,0.69572,0.73622,0.40623,1.54114,2.73508,1.27265,1.60248,0,0.00041811,0.00041811,0.00041811
42,20778.2,0.64521,1.04583,0.40119,0.90328,0,0.84293,0.70953,0.75578,0.48162,0.82317,0.69367,0.73654,0.40599,1.54203,2.74218,1.27063,1.60562,0,0.000414222,0.000414222,0.000414222
43,21249.5,0.63564,1.04392,0.3986,0.89995,0,0.84342,0.70929,0.75434,0.48073,0.81917,0.69462,0.73601,0.40529,1.54348,2.75127,1.26973,1.60802,0,0.000410262,0.000410262,0.000410262
44,21722.1,0.6258,1.03395,0.39187,0.89359,0,0.84473,0.70875,0.75433,0.48076,0.81859,0.6985,0.73873,0.40611,1.54372,2.75513,1.26917,1.6099,0,0.000406234,0.000406234,0.000406234
45,22193.6,0.62563,1.0242,0.39007,0.89641,0,0.8474,0.70654,0.75521,0.48153,0.82104,0.69655,0.73883,0.40687,1.5439,2.75464,1.2673,1.61098,0,0.000402138,0.000402138,0.000402138
46,22664.8,0.61808,1.01764,0.38796,0.89085,0,0.84747,0.70708,0.75526,0.48172,0.82529,0.69404,0.73956,0.40655,1.54504,2.76035,1.26391,1.61219,0,0.000397977,0.000397977,0.000397977
47,23136.2,0.61288,1.01274,0.3829,0.88824,0,0.84782,0.70525,0.75417,0.48153,0.82359,0.69373,0.73965,0.40681,1.54612,2.76556,1.264,1.61409,0,0.000393752,0.000393752,0.000393752
48,23608.2,0.61233,1.00465,0.38052,0.88667,0,0.84544,0.70422,0.75362,0.481,0.82406,0.69402,0.7401,0.4065,1.54761,2.77113,1.26364,1.61695,0,0.000389464,0.000389464,0.000389464
49,24081.8,0.60355,0.99644,0.37714,0.88506,0,0.84561,0.70156,0.7537,0.48058,0.82423,0.69209,0.73938,0.40636,1.54915,2.77882,1.26466,1.61959,0,0.000385117,0.000385117,0.000385117
50,24554.3,0.59883,0.99241,0.37296,0.88239,0,0.84679,0.69984,0.75312,0.48035,0.83035,0.68864,0.73864,0.40611,1.54964,2.78446,1.2657,1.62126,0,0.000380712,0.000380712,0.000380712
51,25025.6,0.59526,0.97629,0.3684,0.88124,0,0.84656,0.70065,0.75287,0.48029,0.83318,0.68899,0.73823,0.40569,1.54915,2.78978,1.26673,1.62122,0,0.00037625,0.00037625,0.00037625
52,25498.3,0.58948,0.97285,0.36533,0.87565,0,0.84794,0.70071,0.752,0.47961,0.83325,0.69012,0.738,0.4051,1.55009,2.79175,1.26684,1.62366,0,0.000371734,0.000371734,0.000371734
53,25970.4,0.58892,0.97087,0.36594,0.87934,0,0.84915,0.69902,0.75158,0.47904,0.83422,0.68884,0.73669,0.40477,1.55065,2.79464,1.26782,1.62491,0,0.000367166,0.000367166,0.000367166
54,26442.6,0.57734,0.96169,0.36075,0.87497,0,0.84677,0.6991,0.75093,0.4793,0.83199,0.6879,0.73437,0.40478,1.551,2.79892,1.26881,1.62592,0,0.000362547,0.000362547,0.000362547
55,26913.9,0.57854,0.95707,0.36094,0.87353,0,0.84805,0.69835,0.75082,0.47905,0.83066,0.68695,0.73451,0.40476,1.55132,2.80314,1.26954,1.62761,0,0.00035788,0.00035788,0.00035788
56,27386.2,0.5724,0.9574,0.35576,0.8724,0,0.84564,0.6999,0.75102,0.47965,0.8267,0.69057,0.73417,0.40499,1.55158,2.80325,1.26919,1.62995,0,0.000353167,0.000353167,0.000353167
57,27857.4,0.5661,0.9402,0.35339,0.87243,0,0.84665,0.69955,0.75041,0.47943,0.8261,0.68979,0.73278,0.40459,1.55258,2.80723,1.26934,1.63314,0,0.00034841,0.00034841,0.00034841
58,28331.7,0.56297,0.93696,0.35016,0.86978,0,0.84645,0.70037,0.74967,0.47901,0.8244,0.69137,0.7331,0.40466,1.5533,2.81045,1.26936,1.63572,0,0.000343611,0.000343611,0.000343611
59,28797.5,0.55962,0.92675,0.34782,0.86865,0,0.84409,0.70195,0.74878,0.47799,0.82099,0.69484,0.73217,0.40433,1.55412,2.81583,1.2685,1.63781,0,0.000338772,0.000338772,0.000338772
60,29271.4,0.55303,0.92794,0.34684,0.86594,0,0.84344,0.70101,0.7488,0.47756,0.82026,0.69522,0.73363,0.40434,1.55483,2.82023,1.26904,1.64,0,0.000333894,0.000333894,0.000333894
61,29744.5,0.55156,0.92406,0.34441,0.86457,0,0.84613,0.70225,0.74945,0.47776,0.82094,0.69367,0.73218,0.40433,1.55533,2.82475,1.26913,1.64151,0,0.000328982,0.000328982,0.000328982
62,30216.8,0.54494,0.91066,0.34116,0.86064,0,0.83696,0.70397,0.7483,0.47785,0.81851,0.69466,0.73284,0.40437,1.5561,2.82847,1.26965,1.64449,0,0.000324035,0.000324035,0.000324035
63,30689.1,0.53902,0.90805,0.33563,0.86072,0,0.83172,0.70986,0.74826,0.47749,0.81486,0.69701,0.7326,0.40417,1.55742,2.83166,1.2721,1.64738,0,0.000319058,0.000319058,0.000319058
64,31160,0.5392,0.90628,0.3364,0.86148,0,0.83502,0.70681,0.74721,0.47723,0.81282,0.6974,0.73107,0.404,1.55881,2.83384,1.27197,1.64974,0,0.000314051,0.000314051,0.000314051
65,31635,0.53705,0.90046,0.33539,0.85902,0,0.83375,0.70725,0.74767,0.47699,0.81136,0.69749,0.73114,0.40363,1.5597,2.83811,1.27219,1.65123,0,0.000309017,0.000309017,0.000309017
66,32104.1,0.52955,0.88681,0.33121,0.85682,0,0.8355,0.7052,0.74668,0.47669,0.81161,0.69771,0.73109,0.40358,1.5615,2.84346,1.27173,1.65404,0,0.000303958,0.000303958,0.000303958
67,32575.2,0.52492,0.88762,0.32967,0.85571,0,0.83118,0.70814,0.74659,0.47659,0.81119,0.69785,0.73066,0.40389,1.56244,2.84718,1.27192,1.65666,0,0.000298877,0.000298877,0.000298877
