epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,806.553,2.05884,3.6363,3.56835,1.95789,0,0.24928,0.2983,0.20272,0.0934,0.32064,0.20953,0.17127,0.07517,2.12963,4.20632,4.4415,1.94695,0,0.000166613,0.000166613,0.0668439
2,1504.59,1.7204,2.70039,2.01559,1.6416,0,0.45498,0.46576,0.41007,0.20323,0.44309,0.45025,0.38452,0.18988,1.85275,2.86562,2.93558,1.74504,0,0.000325206,0.000325206,0.0336692
3,2186.27,1.49189,2.31464,1.48423,1.45811,0,0.53215,0.55958,0.50326,0.28216,0.51284,0.53651,0.47238,0.2492,1.70585,2.56611,2.30644,1.61242,0,0.000452683,0.000452683,0.00046335
4,2854.14,1.32988,2.0472,1.18424,1.32234,0,0.55711,0.58192,0.52574,0.30457,0.52233,0.55629,0.49443,0.26145,1.62955,2.55664,2.15953,1.52081,0,0.000397977,0.000397977,0.000397977
5,3521.58,1.20696,1.85878,0.99141,1.23557,0,0.67912,0.60329,0.63765,0.3784,0.64986,0.60002,0.60534,0.32163,1.59647,2.49436,1.71518,1.51991,0,0.000328982,0.000328982,0.000328982
6,4189.87,1.09747,1.70224,0.85017,1.16661,0,0.71872,0.63861,0.65424,0.39186,0.69059,0.61857,0.6228,0.33349,1.53958,2.47431,1.56621,1.45809,0,0.0002525,0.0002525,0.0002525
7,4884.79,1.0067,1.58567,0.74747,1.1122,0,0.71107,0.65075,0.65674,0.39389,0.70329,0.63816,0.6336,0.34309,nan,2.40583,nan,nan,0,0.000176018,0.000176018,0.000176018
8,5573.08,0.92501,1.47467,0.66773,1.06063,0,0.73668,0.66751,0.67456,0.42386,0.74292,0.62515,0.64712,0.3595,1.51998,2.37056,1.41896,1.46644,0,0.000107023,0.000107023,0.000107023
9,6259.96,0.86178,1.40335,0.61912,1.02924,0,0.75608,0.65497,0.67517,0.42453,0.74016,0.64168,0.6518,0.36112,1.52512,2.40359,1.42061,1.48,0,5.22683e-05,5.22683e-05,5.22683e-05
10,6959.24,0.82888,1.35852,0.58768,1.01003,0,0.76669,0.67362,0.69056,0.43723,0.7579,0.65613,0.66958,0.37307,1.5182,2.40977,1.37855,1.47893,0,1.71135e-05,1.71135e-05,1.71135e-05
